dataset,filename,kf_ease_avg,spache_avg,kf_ease,spache_ease,plain_utterances
English_Bilingual_Grade2_Audio,11221425.cha,102.70532217782217,2.3417206127206125,"[103.625, 115.13000000000002, 103.54, 116.14500000000001, 97.025, 75.87500000000001, 100.24000000000002, 83.0092307692308, 103.70000000000002, 114.11500000000001, 95.93928571428573, 81.85500000000002, 102.045, 92.965, 114.11500000000001, 115.13000000000002, 118.17500000000001, 90.95857142857145, 103.625, 116.14500000000001, 102.045, 114.11500000000001]","[3.1089999999999995, 1.8259999999999998, 1.9669999999999999, 1.6849999999999998, 1.403, 1.403, 1.544, 4.6566153846153835, 2.1079999999999997, 1.9669999999999999, 4.041571428571428, 3.964333333333333, 1.6849999999999998, 4.116999999999999, 1.9669999999999999, 1.8259999999999998, 1.403, 1.8259999999999998, 2.2489999999999997, 1.6849999999999998, 3.118333333333333, 1.9669999999999999]","['the boy and the dog were looking at the frog .', 'and then the boy went to sleep .', 'and the frog got out of the bottle .', 'and then the kid woke up .', ""and he wasn't POSTCLITIC there ."", 'the boy checked everywhere .', ""but he couldn't POSTCLITIC find him ."", 'and then the boy opened the window and started screaming for the frog .', 'and then the dog fell out of the window .', 'and the boy jumped out and got him .', 'and then the boy went to the woods and started screaming for the frog .', 'then in a little while the dog started playing with the beehive .', 'and then the beehive fell down .', 'and then the bees started chasing the dog .', 'and then the kid climbed on the rock .', 'and he got stuck on the deer .', 'and the deer ran .', 'and then he fell into the water .', 'and then the boy told the dog to be quiet .', 'and then he found the frog .', 'and he saw the baby frogs .', 'and then he said bye to his frog .']"
English_Bilingual_Grade2_Audio,11222222.cha,108.02945238095238,2.044023809523809,"[117.16000000000003, 103.70000000000002, 103.04428571428575, 101.98214285714286, 103.04428571428575, 116.14500000000001, 116.14500000000001, 114.11500000000001, 103.70000000000002, 114.11500000000001, 103.04428571428575, 116.14500000000001, 102.045, 103.00500000000001, 82.39000000000001, 95.165, 116.14500000000001, 119.19000000000003, 90.95857142857145, 118.17500000000001, 115.13000000000002, 118.17500000000001, 117.16000000000003, 82.39000000000001, 117.16000000000003, 117.16000000000003, 103.54, 113.10000000000002, 103.54, 114.11500000000001]","[1.544, 2.1079999999999997, 3.0545714285714287, 2.8129999999999997, 3.0545714285714287, 1.6849999999999998, 1.6849999999999998, 1.9669999999999999, 2.1079999999999997, 1.9669999999999999, 3.0545714285714287, 1.6849999999999998, 1.6849999999999998, 2.5309999999999997, 3.042, 2.2489999999999997, 1.6849999999999998, 1.262, 1.8259999999999998, 1.403, 1.8259999999999998, 1.403, 1.544, 3.042, 1.544, 1.544, 1.9669999999999999, 2.1079999999999997, 1.9669999999999999, 1.9669999999999999]","['the boy went to sleep .', 'and the frog jumped out of the little jar .', 'and then the dog was sleeping too .', ""and then the dog and the boy woke up and didn't POSTCLITIC see the frog ."", 'and then they were looking for it .', 'the boy looked in his shoe .', 'the dog looked in the jar .', 'and the jar got stuck on his head .', 'and then the dog fell out of the window .', 'the kid jumped down and got the dog .', 'then they were looking for the frog .', 'the boy looked in a hole .', 'the dog looked in a beehive .', 'and a squirrel jumped out and pinched the boy in the nose .', 'and the bees started running after the dog .', 'and the boy looked in another hole in the tree .', 'and then an owl came out .', 'and he fell .', 'and the owl was going towards him .', 'but then he left .', 'and then he got on a rock .', 'and then he fell .', 'and a deer got him .', 'and the deer started running after the dog .', 'they fell in a pond .', 'and they found a log .', 'the boy told the dog to be quiet .', 'and then they looked in back of the log .', 'and there was the frog with his babies .', 'and then the boy left with the frog .']"
English_Bilingual_Grade2_Audio,11222306.cha,103.3857231249143,2.438239755161324,"[103.00500000000001, 103.04428571428575, 103.70000000000002, 115.13000000000002, 103.04428571428575, 102.045, 100.24000000000002, 77.81071428571428, 119.19000000000003, 103.70000000000002, 112.08500000000001, 95.02705882352943, 90.95857142857145, 103.04428571428575, 90.95857142857145, 103.54, 115.13000000000002, 118.17500000000001, 103.70000000000002, 118.17500000000001, 114.11500000000001, 102.045, 103.54, 103.04428571428575, 103.54, 97.025, 118.17500000000001, 110.055, 95.68818181818183, 108.025, 103.70000000000002, 112.08500000000001, 96.02461538461542, 94.30000000000001, 103.70000000000002, 75.12117647058825]","[3.2476666666666665, 3.0545714285714287, 2.1079999999999997, 1.8259999999999998, 1.8259999999999998, 1.6849999999999998, 1.544, 4.041571428571428, 1.262, 3.0635555555555554, 2.2489999999999997, 3.741882352941176, 3.0545714285714287, 3.0545714285714287, 3.0545714285714287, 3.042, 1.8259999999999998, 1.403, 2.1079999999999997, 1.403, 1.9669999999999999, 3.118333333333333, 3.042, 3.0545714285714287, 1.9669999999999999, 1.403, 1.403, 2.5309999999999997, 2.3899999999999997, 2.8129999999999997, 2.1079999999999997, 2.2489999999999997, 2.6719999999999997, 2.1079999999999997, 2.1079999999999997, 4.247764705882353]","['one night the boy and the dog were looking at the frog .', 'the boy and the dog were sleeping .', 'the frog was coming out from where he was .', 'the dog and the boy woke up .', ""and they saw the frog wasn't POSTCLITIC there ."", 'the boy looked inside a boot .', ""but the frog wasn't POSTCLITIC there ."", 'the boy opened the window and looked outside and started calling for the frog .', 'the dog fell .', 'and the boy was looking at the dog fall .', 'and then the boy went to go get the dog .', 'the boy was so mad he went out of the house and started calling for the frog .', 'the boy was looking inside the hole .', 'the dog was barking at the bees .', 'the boy got bitten by a squirrel .', 'the dog was still barking at the bees .', 'the bees came down from the tree .', 'the dog looked down .', 'the boy looked inside the trunk of the hole .', 'the boy fell down .', 'and an owl came out of the hole .', 'the bees were chasing the dog .', 'the boy was starting to climb a rock .', 'the bird was still chasing the boy .', 'the boy kept on calling for the frog .', ""the frog didn't POSTCLITIC come ."", 'a deer looked up .', 'a deer got the boy and threw the boy and the dog .', 'the deer threw the boy and the dog inside the water .', 'then when the boy and the dog they heard a sound of the frog .', 'the boy said to the dog to be quiet .', 'they looked on top of a tree of the trunk .', 'and there there was two frogs one that was his and another one .', 'then his and the other frog had little frogs .', 'the frogs let the boy have one little frog .', 'the other families were looking at the little boy and the dog leave with the other frog .']"
English_Bilingual_Grade2_Audio,12122227.cha,103.6489440993789,1.8295900621118013,"[103.04428571428575, 92.965, 95.165, 92.965, 90.95857142857145, 118.17500000000001, 115.13000000000002, 100.24000000000002, 97.025, 97.025, 103.54, 119.19000000000003, 114.11500000000001, 103.04428571428575, 90.99000000000004, 103.70000000000002, 120.20500000000001, 90.99000000000004, 117.16000000000003, 90.99000000000004, 116.14500000000001, 90.95857142857145, 120.20500000000001]","[3.0545714285714287, 1.9669999999999999, 2.2489999999999997, 3.042, 1.8259999999999998, 1.403, 1.8259999999999998, 1.544, 1.403, 3.553, 1.9669999999999999, 1.262, 1.9669999999999999, 1.8259999999999998, 1.262, 2.1079999999999997, 1.121, 1.262, 1.544, 1.262, 1.6849999999999998, 1.8259999999999998, 1.121]","['the dog and the boy is sleeping .', 'the frog is going out of the bottle .', ""when they woke up the frog wasn't POSTCLITIC in the bottle ."", 'they were looking for him calling his name .', 'the little dog fell from the window .', 'and the glass broke .', 'at night they still called his name .', ""and they couldn't POSTCLITIC find him ."", 'they looked into holes .', 'the dog was barking .', 'the little kid went up to a tree .', 'and he fell .', 'and an owl came out from the hole .', 'bees were running to bit the dog .', 'they were tired .', 'and the little boy stand up on a rock .', 'he fell .', 'they start running .', 'they fell in a pond .', ""they're POSTCLITIC hearing sounds ."", 'they stand up on a log .', 'they saw two frogs and little babies .', 'they left .']"
English_Bilingual_Grade2_Audio,12222013.cha,107.74366380098776,1.7717394671056639,"[118.17500000000001, 111.07000000000002, 90.99000000000004, 90.95857142857145, 97.025, 117.16000000000003, 119.19000000000003, 90.99000000000004, 90.95857142857145, 103.54, 118.17500000000001, 119.19000000000003, 120.20500000000001, 119.19000000000003, 120.20500000000001, 119.19000000000003, 75.87500000000001, 103.04428571428575, 90.95857142857145, 120.20500000000001, 119.19000000000003, 102.045, 119.19000000000003, 119.19000000000003, 118.17500000000001, 97.025, 118.17500000000001, 119.19000000000003, 120.20500000000001, 119.19000000000003, 118.17500000000001, 119.19000000000003, 119.19000000000003, 100.24000000000002, 100.24000000000002, 119.19000000000003, 119.19000000000003, 90.95857142857145, 118.17500000000001, 118.17500000000001, 118.17500000000001, 100.24000000000002, 116.14500000000001, 117.16000000000003, 92.965, 116.14500000000001, 116.14500000000001, 87.99727272727276, 115.13000000000002, 117.16000000000003, 117.16000000000003, 119.19000000000003, 118.17500000000001, 120.20500000000001, 103.04428571428575, 90.99000000000004, 117.16000000000003, 97.025, 119.19000000000003, 0.0, 87.94500000000002, 102.045, 119.19000000000003, 117.16000000000003, 102.045, 119.19000000000003, 36.62000000000003, 117.16000000000003, 120.20500000000001, 121.22000000000003, 97.025]","[1.403, 2.3899999999999997, 4.128666666666667, 3.0545714285714287, 1.403, 1.544, 1.262, 1.262, 3.0545714285714287, 1.9669999999999999, 1.403, 1.262, 1.121, 1.262, 1.121, 1.262, 1.403, 1.8259999999999998, 3.0545714285714287, 1.121, 1.262, 1.6849999999999998, 1.262, 1.262, 1.403, 1.403, 1.403, 1.262, 1.121, 1.262, 1.403, 1.262, 1.262, 1.544, 1.544, 1.262, 1.262, 1.8259999999999998, 1.403, 1.403, 1.403, 1.544, 1.6849999999999998, 1.544, 1.9669999999999999, 1.6849999999999998, 1.6849999999999998, 4.7354545454545445, 1.8259999999999998, 1.544, 1.544, 1.262, 1.403, 1.121, 1.8259999999999998, 4.128666666666667, 1.544, 3.553, 1.262, 0.98, 1.6849999999999998, 1.6849999999999998, 1.262, 1.544, 1.6849999999999998, 1.262, 9.58, 1.544, 1.121, 0.98, 1.403]","['there was this boy .', ""he got a a pet that's POSTCLITIC a frog and a dog ."", 'it was nighttime .', 'they were sitting and watching the frog .', 'the frog was happy .', 'the boy went to bed .', 'the dog too .', ""the frog didn't POSTCLITIC ."", 'the frog escaped from his little jar .', 'when it was morning the boy woke up .', 'and the dog too .', 'the dog went ""/.', 'ruff ruff .', 'the boy said ""/.', 'oh my ""/.', ""where's POSTCLITIC the frog ?"", 'the boy looked everywhere .', 'the dog looked in the jar again .', 'the boy opened the window and said ""/.', 'frog frog ""/.', 'where are you ?', 'the dog was out the window .', 'the dog fell .', 'the glass fall .', 'the boy jumped off .', 'the boy was upset .', 'the dog licked him .', 'the boy said ""/.', 'frog frog ""/.', 'where are you ?', 'the dog was mad .', 'there was bees .', 'the boy called ""/.', 'frog frog under a hole .', 'there was more bees coming .', 'the dog went ""/.', 'ruff ruff ruff .', ""the little squirrel bit the boy's POSTCLITIC nose ."", 'the dog jumped up .', 'the bees came out .', 'the hive fell down .', 'all the bees were coming .', 'the boy climbed on the tree .', 'and the owl came out .', 'all the bees were running after the dog .', 'the boy climbed on the rock .', 'the owl flew where he was .', 'the boy climbed on the rock higher and higher and higher .', 'he thought that that was a stick .', 'and it was a deer .', 'the deer picked him up .', 'the deer ran .', 'and the dog too .', 'they fell .', 'and the dog too in the water .', 'they fell deeper .', 'and then they came up .', 'the deer was laughing .', 'the boy went ""/.', 'shh .', 'the dog went swimming toward him .', 'the boy climbed over the log .', 'the dog too .', 'they saw two love frogs .', 'he was happy to keep them .', 'the boy said ""/.', 'hooray .', 'look at my frog there .', 'he said ""/.', 'bye .', ""he'll POSTCLITIC come back again .""]"
English_Bilingual_Grade2_Audio,21121222.cha,108.66459253246758,2.0050212481962477,"[103.04428571428575, 100.24000000000002, 103.54, 118.17500000000001, 117.16000000000003, 116.14500000000001, 116.14500000000001, 103.54, 115.13000000000002, 102.045, 118.17500000000001, 117.16000000000003, 103.04428571428575, 92.965, 102.045, 117.16000000000003, 116.14500000000001, 103.54, 103.04428571428575, 115.13000000000002, 118.17500000000001, 113.10000000000002, 103.70000000000002, 115.13000000000002, 118.17500000000001, 115.13000000000002, 100.24000000000002, 103.625, 115.13000000000002, 114.11500000000001, 95.68818181818183, 117.16000000000003, 94.30000000000001, 118.17500000000001, 100.24000000000002, 117.16000000000003, 90.95857142857145, 94.30000000000001, 103.37909090909093, 115.13000000000002]","[3.0545714285714287, 1.544, 1.9669999999999999, 1.403, 1.544, 1.6849999999999998, 1.6849999999999998, 1.9669999999999999, 1.8259999999999998, 1.6849999999999998, 1.403, 1.544, 3.0545714285714287, 4.116999999999999, 3.118333333333333, 1.544, 1.6849999999999998, 3.042, 1.8259999999999998, 1.8259999999999998, 1.403, 2.1079999999999997, 3.0635555555555554, 1.8259999999999998, 1.403, 1.8259999999999998, 1.544, 2.2489999999999997, 1.8259999999999998, 1.9669999999999999, 3.171818181818182, 1.544, 2.1079999999999997, 1.403, 1.544, 1.544, 1.8259999999999998, 2.1079999999999997, 2.3899999999999997, 1.8259999999999998]","['the dog is looking at the frog .', 'and now the frog escape .', 'and the boy and the dog are asleep .', 'now they woke up .', 'and the frog is gone .', 'now he looked in his shoe .', 'the dog looked in the point .', 'and the dog got stuck on the bottle .', 'the dog fall and broke the glass .', 'he almost broke his head off .', 'now the boy screamed .', 'and the bees comed out .', 'the dog is jumping for the bees .', 'and the boy is looking at the diggers .', 'and the dog is still jumping .', 'then the bees come down .', ""and they sting the dog's POSTCLITIC tail ."", 'now the boy is looking in the hole .', 'I think is a hole of something .', 'it was a hole of a owl .', 'now the boy dropped .', 'and the bees comed up the face of him .', 'now the owl was like screaming at the boy .', 'now the owl got on a tree .', 'and the boy screamed .', 'now the boy got on a deer .', 'and the deer went running .', 'now the boy and the dog falled in the water .', 'now it was short what he falled .', ""now the dog is in the boy's POSTCLITIC hair ."", 'now the little boy is doing shh to the little dog .', ""then he won't POSTCLITIC make noise ."", 'now they jumped and almost falled around the wood .', 'the frog was there .', ""the boy didn't POSTCLITIC know it ."", 'but the frog was there .', 'he was in love with another frog .', 'and the frog and the little babies comed out .', 'and then the boy took just one frog and said goodbye .', 'the boy tries to find the frog .']"
English_Bilingual_Grade2_Audio,21121223.cha,105.04994561688314,2.167267063492063,"[103.625, 100.24000000000002, 103.54, 92.965, 117.16000000000003, 102.045, 102.045, 103.04428571428575, 116.14500000000001, 103.70000000000002, 114.11500000000001, 114.11500000000001, 112.08500000000001, 94.30000000000001, 92.965, 100.70750000000001, 103.37909090909093, 116.14500000000001, 117.16000000000003, 116.14500000000001, 114.11500000000001, 116.14500000000001, 117.16000000000003, 97.025, 116.14500000000001, 114.11500000000001, 108.025, 103.00500000000001, 95.955, 103.625, 87.94500000000002, 115.13000000000002, 115.13000000000002, 103.625, 90.95857142857145, 103.04428571428575, 103.70000000000002, 103.37909090909093, 73.84500000000001, 94.30000000000001]","[3.1089999999999995, 3.264, 3.042, 1.9669999999999999, 1.544, 1.6849999999999998, 1.6849999999999998, 3.0545714285714287, 1.6849999999999998, 2.1079999999999997, 1.9669999999999999, 1.9669999999999999, 2.2489999999999997, 3.0635555555555554, 3.042, 3.0949999999999998, 2.3899999999999997, 1.6849999999999998, 1.544, 1.6849999999999998, 1.9669999999999999, 1.6849999999999998, 1.544, 1.403, 1.6849999999999998, 1.9669999999999999, 2.8129999999999997, 2.5309999999999997, 2.5309999999999997, 2.2489999999999997, 1.6849999999999998, 1.8259999999999998, 1.8259999999999998, 2.2489999999999997, 1.8259999999999998, 1.8259999999999998, 3.0635555555555554, 2.3899999999999997, 1.6849999999999998, 2.1079999999999997]","[""there's POSTCLITIC a boy playing with a dog and a frog ."", 'and the boy is sleeping .', 'and the dog is sleeping on his bed .', 'and the frog is going to walk away .', 'then the boy wake up .', ""and he didn't POSTCLITIC see the frog ."", 'then he searched under the boot .', ""and the dog in the fish's POSTCLITIC tank ."", 'and then he called the frog .', ""then the dog and the boy couldn't POSTCLITIC find him ."", 'and then the dog he jumped the boy .', 'and he fall in top of the dog .', 'and then the boy and the dog called the frog .', 'then the boy was searching under the ant cave .', 'and the dog was looking at the beehive .', 'then fox and then the boy climbed up the tree into the hole of the tree .', 'and the dog was going to get hurt by a bee .', 'and then the owl came out .', 'and the bees came out .', 'and the bees chased the dog .', 'and the boy fall down of the tree .', 'then the boy climbed a rock .', 'but the owl missed him .', 'the owl went away .', 'and the boy called the frog .', 'then a deer picked it up the boy .', 'and then the deer saw the dog and ran with the dog and boy .', 'then the deer threw the boy and dog down to the water .', 'then the boy and the dog were coming out from the water .', 'and then the boy told the dog to be quiet .', 'and the dog was under water .', 'then they both went up the log .', 'they were on top of the log .', 'and they saw a lady frog and a boy frog .', 'and then the lady frog had babies .', 'and the boy frog saw the babies .', 'then the boy and the dog saw the baby .', 'then the boy went away with his frog and the dog .', 'and then the family said goodbye .', 'and one of the frogs was under the water .']"
English_Bilingual_Grade2_Audio,21121349.cha,99.97027758245814,2.4387747922575507,"[116.14500000000001, 103.04428571428575, 103.04428571428575, 103.04428571428575, 103.37909090909093, 117.16000000000003, 115.13000000000002, 97.025, 102.045, 116.14500000000001, 103.37909090909093, 100.24000000000002, 90.95857142857145, 103.04428571428575, 62.79000000000002, 103.04428571428575, 89.51692307692309, 100.00352941176472, 103.70000000000002, 103.37909090909093, 103.625, 66.7871428571429, 114.11500000000001, 103.37909090909093, 95.73000000000002, 97.025, 103.37909090909093, 97.025, 81.85500000000002]","[1.6849999999999998, 3.0545714285714287, 3.0545714285714287, 3.0545714285714287, 2.3899999999999997, 1.544, 1.8259999999999998, 1.403, 1.6849999999999998, 1.6849999999999998, 3.171818181818182, 1.544, 3.0545714285714287, 3.0545714285714287, 1.262, 1.8259999999999998, 2.6719999999999997, 3.2359999999999998, 3.0635555555555554, 2.3899999999999997, 3.1089999999999995, 3.0545714285714287, 1.9669999999999999, 2.3899999999999997, 2.9539999999999997, 3.553, 2.3899999999999997, 1.403, 3.2476666666666665]","['the frog is in a jar .', 'and the dog is looking at it .', 'the boy is sleeping with the dog .', 'and the frog escapes from the jar .', 'in the morning , when they woke up the frog was gone .', 'where are you the f .', 'the boy did not find the frog .', 'neither did the dog .', 'the dog fell out the window .', 'the boy went to get him .', 'the boy was looking for the frog oh frog oh frog .', 'the dog found a beehive .', 'the dog was looking in the beehive .', 'the boy was looking in a hole .', 'they looked everywhere .', 'a hole in a tree a beehive .', 'after that the bees all went running out going to sting the dog .', 'the owl from the tree came out because he did not want the bees to sting him .', 'the boy climbed a rock looking for the frog .', 'the boy even climbed on a deer to look for him .', 'and the dog was searching for him and the frog .', 'suddenly they both fell into the water .', 'the dog fell on top of the boy .', 'they both fell in the water in front of a log .', ""the boy said be qui shh be quiet because he still didn't POSTCLITIC find the frog ."", 'and he wanted to .', 'the boy and the dog found that the frog was married .', 'and he had children .', 'instead of taking the frog the boy took a little baby frog .']"
English_Bilingual_Grade2_Audio,21121488.cha,104.32531112826571,2.194589990817264,"[103.00500000000001, 117.16000000000003, 90.13250000000001, 103.04428571428575, 97.025, 87.94500000000002, 117.16000000000003, 100.24000000000002, 117.16000000000003, 114.11500000000001, 117.16000000000003, 87.94500000000002, 100.24000000000002, 107.01000000000002, 111.07000000000002, 87.99727272727276, 103.00500000000001, 103.04428571428575, 103.625, 117.16000000000003, 107.01000000000002, 115.13000000000002, 104.98000000000002, 102.045, 116.14500000000001, 100.24000000000002, 95.165, 116.14500000000001, 115.13000000000002, 112.08500000000001, 102.045, 89.51692307692309, 81.85500000000002]","[2.5309999999999997, 1.544, 3.6325, 1.8259999999999998, 1.403, 1.6849999999999998, 1.544, 1.544, 1.544, 1.9669999999999999, 1.544, 1.6849999999999998, 1.544, 2.9539999999999997, 2.3899999999999997, 3.9536363636363636, 2.5309999999999997, 1.8259999999999998, 2.2489999999999997, 1.544, 2.9539999999999997, 1.8259999999999998, 3.2359999999999998, 3.118333333333333, 1.6849999999999998, 3.264, 2.2489999999999997, 1.6849999999999998, 1.8259999999999998, 2.2489999999999997, 1.6849999999999998, 2.6719999999999997, 2.5309999999999997]","['once upon a time there was this boy that had a frog .', 'he had a dog too .', 'when he was sleeping his frog went away from the bottle that he had it in .', 'in the morning the boy woke up .', 'he saw the bottle .', 'there was nothing in the bottle .', 'he looked in his boots .', 'he looked out the window .', 'but there was no frog .', 'then the dog fell down on the floor .', 'the boy fell down too .', 'the boy looked everywhere for him .', 'even the dog did too .', 'soon they found a tree with a bee hive and a hole in the ground .', ""the boy looked in the hole and called the frog's POSTCLITIC name ."", 'the dog looked at the beehive and started playing with it .', 'soon a squirrel came out of the hole and bit the boy .', 'the dog tried to bite the beehive .', 'and soon the beehive went to the floor and broke .', 'then some bees came out .', 'and then the boy went to a tree that there was a hole in it .', 'then a big huge owl came out .', 'when the boy fell down from the tree he saw the dog in front of the bees .', 'that the bees were chasing him .', 'then he went to a rock .', 'and then he had branches .', ""he didn't POSTCLITIC know there was a deer behind the rock ."", 'soon the deer lift his head .', 'then he threw him to a pond .', 'when they went in the pond they saw a log .', 'and they went behind the log .', 'there they saw a mother frog and a father frog who had babies .', 'the little boy took one of the babies that was his favorite .']"
English_Bilingual_Grade2_Audio,21221133.cha,107.65190642690648,2.0709893598465023,"[113.10000000000002, 118.17500000000001, 103.00500000000001, 103.37909090909093, 119.19000000000003, 103.625, 97.025, 117.16000000000003, 102.045, 113.10000000000002, 115.13000000000002, 113.10000000000002, 117.16000000000003, 100.24000000000002, 102.53230769230771, 102.045, 115.13000000000002, 103.04428571428575, 101.98214285714286, 102.045, 117.16000000000003, 115.13000000000002, 100.24000000000002, 115.13000000000002, 100.24000000000002, 103.04428571428575, 116.14500000000001, 102.53230769230771, 117.16000000000003, 97.025, 111.07000000000002, 114.11500000000001, 107.01000000000002, 95.955, 95.68818181818183, 111.07000000000002, 103.04428571428575, 95.68818181818183, 115.13000000000002, 94.30000000000001, 113.10000000000002, 119.19000000000003]","[2.1079999999999997, 1.403, 3.2476666666666665, 2.3899999999999997, 1.262, 2.2489999999999997, 1.403, 1.544, 1.6849999999999998, 2.1079999999999997, 1.8259999999999998, 2.1079999999999997, 1.544, 1.544, 3.333538461538461, 1.6849999999999998, 1.8259999999999998, 1.8259999999999998, 2.8129999999999997, 1.6849999999999998, 1.544, 1.8259999999999998, 1.544, 1.8259999999999998, 1.544, 3.0545714285714287, 1.6849999999999998, 3.333538461538461, 1.544, 1.403, 2.3899999999999997, 1.9669999999999999, 2.9539999999999997, 3.2476666666666665, 2.3899999999999997, 2.3899999999999997, 3.0545714285714287, 2.3899999999999997, 1.8259999999999998, 2.1079999999999997, 2.1079999999999997, 1.262]","['one day there was a boy with a frog .', 'and he loved him .', 'and when he was sleeping the frog came out of the jar .', ""and when he looked at the jar the frog wasn't POSTCLITIC there ."", 'he was gone .', 'and he looked under his shoes and in his shoes .', ""but he wasn't POSTCLITIC there ."", 'and he called at him .', ""but he still didn't POSTCLITIC find him ."", 'and the dog had the jar on his head .', 'and when he fell he broke it .', 'and the boy went down and picked him up .', 'and he stilled called him .', ""but he didn't POSTCLITIC see him ."", 'and the dog looked at the bees like they were gonna get him .', 'and he jumped up the beehive .', 'and the boy looked in a hole .', 'and the dog barked at the beehive .', 'but when the boy stuck his nose in the hole a squirrel came out .', 'and the dog broke the beehive .', 'and the bees were mad .', 'and the boy looked in the tree .', ""but he still wasn't POSTCLITIC there ."", 'it was an owl that was there .', 'and the dog keeped running .', 'but the bees wanted to sting him .', 'and the owl scared the boy .', 'but when he came up the rock he was holding the deer horns .', 'and he called and called .', ""but he wasn't POSTCLITIC there ."", 'but when the deer picked the boy up he was scared .', 'and he said to put him down down .', 'but when he put him down he threw him in the lake with the dog .', 'the deer stopped and threw him in the lake without helping him .', ""he didn't POSTCLITIC even help him a bit and the dog too ."", 'and when the boy fell the boy fell in the lake .', 'and the dog fell on his stomach .', 'and the boy said to be quiet because they were there .', 'and when they looked they were there .', 'and they were husband and wife with their babies .', 'and the boy said if he could keep one .', 'and they did .']"
